age;marital;education;default;balance;housing;loan;y
30;married;primary;No;1787;No;No;No
33;married;secondary;No;4789;Yes;Yes;No
35;single;tertiary;No;1350;Yes;No;No
30;married;tertiary;No;1476;Yes;Yes;No
59;married;secondary;No;0;Yes;No;No
35;single;tertiary;No;747;No;No;No
36;married;tertiary;No;307;Yes;No;No
39;married;secondary;No;147;Yes;No;No
41;married;tertiary;No;221;Yes;No;No
43;married;primary;No;-88;Yes;Yes;No
39;married;secondary;No;9374;Yes;No;No
43;married;secondary;No;264;Yes;No;No
36;married;tertiary;No;1109;No;No;No
20;single;secondary;No;502;No;No;Yes
31;married;secondary;No;360;Yes;Yes;No
40;married;tertiary;No;194;No;Yes;No
56;married;secondary;No;4073;No;No;No
37;single;tertiary;No;2317;Yes;No;No
25;single;primary;No;-221;Yes;No;No
31;married;secondary;No;132;No;No;No
38;divorced;unkNown;No;0;Yes;No;No
42;divorced;tertiary;No;16;No;No;No
44;single;secondary;No;106;No;No;No
44;married;secondary;No;93;No;No;No
26;married;tertiary;No;543;No;No;No
41;married;tertiary;No;5883;No;No;No
55;married;primary;No;627;Yes;No;No
67;married;unkNown;No;696;No;No;No
56;married;secondary;No;784;No;Yes;No
53;married;secondary;No;105;No;Yes;No
68;divorced;secondary;No;4189;No;No;Yes
31;married;secondary;No;171;No;No;No
59;married;secondary;No;42;No;No;No
32;single;tertiary;No;2536;Yes;No;Yes
49;married;tertiary;No;1235;No;No;Yes
42;divorced;secondary;No;1811;Yes;No;No
78;divorced;primary;No;229;No;No;Yes
32;married;secondary;No;2089;Yes;No;Yes
33;married;secondary;No;3935;Yes;No;Yes
23;single;tertiary;No;363;Yes;No;No
38;single;tertiary;No;11971;Yes;No;No
36;single;tertiary;No;553;No;No;No
52;married;secondary;No;1117;Yes;No;No
32;married;tertiary;No;396;Yes;No;No
32;single;tertiary;No;2204;Yes;No;No
34;single;tertiary;No;872;Yes;No;No
55;married;primary;No;145;No;No;No
26;married;primary;No;0;Yes;No;No
32;single;primary;Yes;-849;Yes;Yes;No
61;married;unkNown;No;4629;Yes;No;Yes
45;divorced;primary;No;844;No;No;Yes
37;single;secondary;No;228;Yes;No;No
38;single;secondary;No;50;No;No;No
34;married;tertiary;No;1539;Yes;No;Yes
53;married;secondary;No;2231;Yes;No;No
48;married;secondary;No;3064;Yes;No;No
57;married;secondary;No;82;No;Yes;No
33;single;tertiary;No;2155;No;No;No
36;single;secondary;No;101;Yes;Yes;No
54;divorced;secondary;No;784;Yes;Yes;No
41;married;primary;No;-516;No;Yes;No
63;married;secondary;No;415;Yes;No;No
48;married;tertiary;No;5887;No;No;No
48;married;secondary;No;1355;No;No;No
56;married;secondary;No;16873;No;No;No
51;divorced;secondary;No;203;Yes;No;No
31;married;secondary;No;338;Yes;No;No
29;married;secondary;No;444;Yes;No;No
41;married;secondary;No;0;No;Yes;No
32;single;tertiary;No;360;No;No;No
37;married;tertiary;No;0;No;No;Yes
42;divorced;tertiary;Yes;2;Yes;No;No
31;single;tertiary;No;6248;Yes;No;No
41;married;tertiary;No;412;Yes;No;No
56;married;secondary;No;344;Yes;No;No
54;divorced;tertiary;No;3222;No;No;No
41;divorced;secondary;No;174;Yes;No;No
40;single;secondary;No;591;No;Yes;No
50;divorced;primary;No;388;No;No;No
